NDFA_per_LiDFOB_molar_ratio_target,LiNO3_final_mass_fraction_target,NDFA_solvent_pool_mass_fraction_target,TTE_solvent_pool_mass_fraction_target,FEC_solvent_pool_mass_fraction_target,VC_solvent_pool_mass_fraction_target,TMSP_solvent_pool_mass_fraction_target,LiDFOB_mass_fraction_target,NDFA_mass_fraction_target,TTE_mass_fraction_target,FEC_mass_fraction_target,LiNO3_mass_fraction_target,VC_mass_fraction_target,TMSP_mass_fraction_target,temperature_C,target_total_mass_g,NDFA_per_LiDFOB_molar_ratio,LiNO3_final_mass_fraction,estimated_final_volume_mL,estimated_LiDFOB_molarity_mol_L,estimated_total_lithium_salt_molarity_mol_L,NDFA_solvent_pool_mass_fraction,TTE_solvent_pool_mass_fraction,FEC_solvent_pool_mass_fraction,VC_solvent_pool_mass_fraction,TMSP_solvent_pool_mass_fraction,constraint_total_mass_pass,constraint_minimum_nonzero_mass_pass,constraint_NDFA_LiDFOB_molar_ratio_pass,constraint_LiNO3_final_mass_fraction_pass,constraint_LiDFOB_molarity_pass,constraint_TTE_solvent_pool_fraction_pass,constraint_FEC_solvent_pool_fraction_pass,constraint_VC_solvent_pool_fraction_pass,constraint_TMSP_solvent_pool_fraction_pass,constraint_all_pass,presence_pattern,LiDFOB_mass_g,LiDFOB_mass_fraction,LiDFOB_mole_fraction,NDFA_mass_g,NDFA_mass_fraction,NDFA_mole_fraction,TTE_mass_g,TTE_mass_fraction,TTE_mole_fraction,FEC_mass_g,FEC_mass_fraction,FEC_mole_fraction,LiNO3_mass_g,LiNO3_mass_fraction,LiNO3_mole_fraction,VC_mass_g,VC_mass_fraction,VC_mole_fraction,TMSP_mass_g,TMSP_mass_fraction,TMSP_mole_fraction
3.295894708,0,1,0,0,0,0,0.2361540625,0.7638459375,0,0,0,0,0,25,5,3.295786224,0,3.588092243,2.289040806,2.289040806,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1808,0.23616,0.232786258,3.8192,0.76384,0.767213742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.892273467,0,1,0,0,0,0,0.1723788018,0.8276211982,0,0,0,0,0,25,5,4.892232379,0,3.690762953,1.624357125,1.624357125,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8619,0.17238,0.169714963,4.1381,0.82762,0.830285037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.532962415,0,1,0,0,0,0,0.1835348395,0.8164651605,0,0,0,0,0,25,5,4.532806314,0,3.672797993,1.737978817,1.737978817,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9177,0.18354,0.180740106,4.0823,0.81646,0.819259894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.154845256,0,1,0,0,0,0,0.2441346197,0.7558653803,0,0,0,0,0,25,5,3.154753275,0,3.575246331,2.374891453,2.374891453,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2207,0.24414,0.240688179,3.7793,0.75586,0.759311821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.750417765,0,1,0,0,0,0,0.2136485778,0.7863514222,0,0,0,0,0,25,5,3.750609261,0,3.624344115,2.050047567,2.050047567,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0682,0.21364,0.210499316,3.9318,0.78636,0.789500684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.436655592,0,1,0,0,0,0,0.1867747329,0.8132252671,0,0,0,0,0,25,5,4.436501746,0,3.66758236,1.771174251,1.771174251,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9339,0.18678,0.1839418153,4.0661,0.81322,0.8160581847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.493527692,0,1,0,0,0,0,0.1848477908,0.8151522092,0,0,0,0,0,25,5,4.493760036,0,3.670705301,1.751286641,1.751286641,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9242,0.18484,0.1820246959,4.0758,0.81516,0.8179753041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.818422165,0,1,0,0,0,0,0.2106450934,0.7893549066,0,0,0,0,0,25,5,3.818539136,0,3.629173405,2.018570492,2.018570492,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0532,0.21064,0.2075317792,3.9468,0.78936,0.7924682208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.21186148,0,1,0,0,0,0,0.2408445757,0.7591554243,0,0,0,0,0,25,5,3.21194186,0,3.58055855,2.339314607,2.339314607,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2042,0.24084,0.2374201813,3.7958,0.75916,0.7625798187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.601307157,0,1,0,0,0,0,0.1813029864,0.8186970136,0,0,0,0,0,25,5,4.601399736,0,3.676403863,1.715083956,1.715083956,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9065,0.1813,0.1785268053,4.0935,0.8187,0.8214731947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.960746121,0,1,0,0,0,0,0.1704049244,0.8295950756,0,0,0,0,0,25,5,4.960918929,0,3.693950285,1.60431387,1.60431387,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.852,0.1704,0.1677593693,4.148,0.8296,0.8322406307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.352062043,0,1,0,0,0,0,0.2331195084,0.7668804916,0,0,0,0,0,25,5,3.352052826,0,3.592985924,2.256497271,2.256497271,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1656,0.23312,0.2297766227,3.8344,0.76688,0.7702233773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.740603227,0,1,0,0,0,0,0.2140891342,0.7859108658,0,0,0,0,0,25,5,3.740806306,0,3.623635819,2.054671259,2.054671259,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0704,0.21408,0.2109345827,3.9296,0.78592,0.7890654173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.071470592,0,1,0,0,0,0,0.2001738248,0.7998261752,0,0,0,0,0,25,5,4.07131356,0,3.64601153,1.909472645,1.909472645,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0009,0.20018,0.1971875705,3.9991,0.79982,0.8028124295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.195098683,0,1,0,0,0,0,0.1954276099,0.8045723901,0,0,0,0,0,25,5,4.195301726,0,3.653674004,1.860158743,1.860158743,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9771,0.19542,0.1924816022,4.0229,0.80458,0.8075183978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.617709458,0,1,0,0,0,0,0.2197634967,0.7802365033,0,0,0,0,0,25,5,3.617783233,0,3.614492363,2.114521615,2.114521615,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0988,0.21976,0.2165541234,3.9012,0.78024,0.7834458766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.475015976,0,1,0,0,0,0,0.226741443,0.773258557,0,0,0,0,0,25,5,3.475044575,0,3.603256214,2.188486097,2.188486097,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1337,0.22674,0.2234614613,3.8663,0.77326,0.7765385387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.837057851,0,1,0,0,0,0,0.1740041349,0.8259958651,0,0,0,0,0,25,5,4.837197012,0,3.688155136,1.640781919,1.640781919,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.87,0.174,0.1713151017,4.13,0.826,0.8286848983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.727865055,0,1,0,0,0,0,0.1773103,0.8226897,0,0,0,0,0,25,5,4.727550685,0,3.682810722,1.674515291,1.674515291,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8866,0.17732,0.1745947011,4.1134,0.82268,0.8254052989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.084084779,0,1,0,0,0,0,0.2483449136,0.7516550864,0,0,0,0,0,25,5,3.084165962,0,3.568485325,2.420324269,2.420324269,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2417,0.24834,0.2448480325,3.7583,0.75166,0.7551519675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.946258791,0,1,0,0,0,0,0.2052217506,0.7947782494,0,0,0,0,0,25,5,3.946301145,0,3.637898323,1.961913794,1.961913794,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0261,0.20522,0.2021712732,3.9739,0.79478,0.7978287268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.366909854,0,1,0,0,0,0,0.1891934153,0.8108065847,0,0,0,0,0,25,5,4.366722409,0,3.663686733,1.796030032,1.796030032,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.946,0.1892,0.1863334683,4.054,0.8108,0.8136665317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.326509602,0,1,0,0,0,0,0.1906233069,0.8093766931,0,0,0,0,0,25,5,4.326602335,0,3.661400869,1.810639452,1.810639452,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9531,0.19062,0.1877369357,4.0469,0.80938,0.8122630643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.985441916,0,1,0,0,0,0,0.2036149237,0.7963850763,0,0,0,0,0,25,5,3.985317154,0,3.640473944,1.945240487,1.945240487,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0181,0.20362,0.2005890436,3.9819,0.79638,0.7994109564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.10933657,0,1,0,0,0,0,0.2468258529,0.7531741471,0,0,0,0,0,25,5,3.109434466,0,3.570932165,2.403862052,2.403862052,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2341,0.24682,0.2433424862,3.7659,0.75318,0.7566575138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.703837544,0,1,0,0,0,0,0.1780547463,0.8219452537,0,0,0,0,0,25,5,4.70366869,0,3.681619497,1.682047523,1.682047523,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8903,0.17806,0.1753257516,4.1097,0.82194,0.8246742484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.844520785,0,1,0,0,0,0,0.173782666,0.826217334,0,0,0,0,0,25,5,4.84461074,0,3.688509284,1.638550029,1.638550029,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8689,0.17378,0.1710977933,4.1311,0.82622,0.8289022067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.468281411,0,1,0,0,0,0,0.2270817412,0.7729182588,0,0,0,0,0,25,5,3.468315818,0,3.602708895,2.192100735,2.192100735,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1354,0.22708,0.2237979679,3.8646,0.77292,0.7762020321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.563871071,0,1,0,0,0,0,0.2223452363,0.7776547637,0,0,0,0,0,25,5,3.563979002,0,3.610339173,2.141807286,2.141807286,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1117,0.22234,0.2191070554,3.8883,0.77766,0.7808929446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.248200595,0,1,0,0,0,0,0.1934573733,0.8065426267,0,0,0,0,0,25,5,4.24812908,0,3.65682914,1.839913086,1.839913086,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9673,0.19346,0.1905440939,4.0327,0.80654,0.8094559061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.110108037,0,1,0,0,0,0,0.1986659126,0.8013340874,0,0,0,0,0,25,5,4.110260689,0,3.648458371,1.893702837,1.893702837,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9933,0.19866,0.1956847333,4.0067,0.80134,0.8043152667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.702694152,0,1,0,0,0,0,0.2158080017,0.7841919983,0,0,0,0,0,25,5,3.702869227,0,3.620867026,2.072763051,2.072763051,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.079,0.2158,0.2126361486,3.921,0.7842,0.7873638514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.329518508,0,1,0,0,0,0,0.2343280509,0.7656719491,0,0,0,0,0,25,5,3.329667917,0,3.591054208,2.269332807,2.269332807,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1716,0.23432,0.2309645957,3.8284,0.76568,0.7690354043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.98255318,0,1,0,0,0,0,0.1697857436,0.8302142564,0,0,0,0,0,25,5,4.982756209,0,3.694948338,1.598044809,1.598044809,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8489,0.16978,0.1671470414,4.1511,0.83022,0.8328529586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.592112292,0,1,0,0,0,0,0.1816000869,0.8183999131,0,0,0,0,0,25,5,4.592114978,0,3.675920934,1.718147627,1.718147627,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.908,0.1816,0.1788232188,4.092,0.8184,0.8211767812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.219839219,0,1,0,0,0,0,0.2403912895,0.7596087105,0,0,0,0,0,25,5,3.219685633,0,3.581266846,2.334579002,2.334579002,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.202,0.2404,0.2369844787,3.798,0.7596,0.7630155213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.874999207,0,1,0,0,0,0,0.2082099193,0.7917900807,0,0,0,0,0,25,5,3.87523237,0,3.633101228,1.993030847,1.993030847,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.041,0.2082,0.205118428,3.959,0.7918,0.794881572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.438174929,0,1,0,0,0,0,0.1867227325,0.8132772675,0,0,0,0,0,25,5,4.438254791,0,3.667678946,1.770558662,1.770558662,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9336,0.18672,0.1838825209,4.0664,0.81328,0.8161174791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.381641801,0,1,0,0,0,0,0.1886773283,0.8113226717,0,0,0,0,0,25,5,4.381565328,0,3.66452381,1.790684662,1.790684662,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9434,0.18868,0.1858195412,4.0566,0.81132,0.8141804588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.806160878,0,1,0,0,0,0,0.2111803696,0.7888196304,0,0,0,0,0,25,5,3.806169324,0,3.628304133,2.024230182,2.024230182,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0559,0.21118,0.2080659113,3.9441,0.78882,0.7919340887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.16345403,0,1,0,0,0,0,0.2436321126,0.7563678874,0,0,0,0,0,25,5,3.163318631,0,3.576051213,2.369494228,2.369494228,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2182,0.24364,0.2401930019,3.7818,0.75636,0.7598069981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.523618121,0,1,0,0,0,0,0.1838442622,0.8161557378,0,0,0,0,0,25,5,4.523746621,0,3.672315064,1.741048507,1.741048507,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9192,0.18384,0.1810365443,4.0808,0.81616,0.8189634557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.914427247,0,1,0,0,0,0,0.1717351841,0.8282648159,0,0,0,0,0,25,5,4.914260863,0,3.691793202,1.617874712,1.617874712,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8587,0.17174,0.1690828361,4.1413,0.82826,0.8309171639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.272524755,0,1,0,0,0,0,0.2374400723,0.7625599277,0,0,0,0,0,25,5,3.272526062,0,3.586031746,2.302769919,2.302769919,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1872,0.23744,0.2340535752,3.8128,0.76256,0.7659464248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.634715918,0,1,0,0,0,0,0.2189603921,0.7810396079,0,0,0,0,0,25,5,3.634724253,0,3.615780174,2.106073673,2.106073673,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0948,0.21896,0.2157625666,3.9052,0.78104,0.7842374334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.053458679,0,1,0,0,0,0,0.2008846304,0.7991153696,0,0,0,0,0,25,5,4.053575602,0,3.644884696,1.916742177,1.916742177,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0044,0.20088,0.1978796952,3.9956,0.79912,0.8021203048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.180014521,0,1,0,0,0,0,0.1959946167,0.8040053833,0,0,0,0,0,25,5,4.179871728,0,3.652740341,1.86615651,1.86615651,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.98,0.196,0.1930549737,4.02,0.804,0.8069450263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.506937459,0,1,0,0,0,0,0.2251422239,0.7748577761,0,0,0,0,0,25,5,3.506982166,0,3.605831836,2.171490766,2.171490766,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1257,0.22514,0.2218779581,3.8743,0.77486,0.7781220419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.400363438,0,1,0,0,0,0,0.2305716156,0.7694283844,0,0,0,0,0,25,5,3.40020274,0,3.597074723,2.229374192,2.229374192,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1529,0.23058,0.2272622556,3.8471,0.76942,0.7727377444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.995516397,0,1,0,0,0,0,0.2538239425,0.7461760575,0,0,0,0,0,25,5,2.995578753,0,3.559663822,2.479862773,2.479862773,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2691,0.25382,0.2502766337,3.7309,0.74618,0.7497233663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.787811168,0,1,0,0,0,0,0.1754798442,0.8245201558,0,0,0,0,0,25,5,4.787806012,0,3.685772686,1.655807603,1.655807603,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8774,0.17548,0.1727770416,4.1226,0.82452,0.8272229584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.647244394,0,1,0,0,0,0,0.1798331245,0.8201668755,0,0,0,0,0,25,5,4.647027767,0,3.678754118,1.700185573,1.700185573,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8992,0.17984,0.1770843072,4.1008,0.82016,0.8229156928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.040558264,0,1,0,0,0,0,0.2510076809,0.7489923191,0,0,0,0,0,25,5,3.040682489,0,3.564203354,2.449187537,2.449187537,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.255,0.251,0.2474829444,3.745,0.749,0.7525170556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.929116629,0,1,0,0,0,0,0.2059327207,0.7940672793,0,0,0,0,0,25,5,3.92894173,0,3.636739293,1.969424487,1.969424487,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0297,0.20594,0.2028833073,3.9703,0.79406,0.7971166927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.257955529,0,1,0,0,0,0,0.1930997479,0.8069002521,0,0,0,0,0,25,5,4.25794864,0,3.657408655,1.836198293,1.836198293,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9655,0.1931,0.1901882404,4.0345,0.8069,0.8098117596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.280850396,0,1,0,0,0,0,0.1922655706,0.8077344294,0,0,0,0,0,25,5,4.281003954,0,3.658760857,1.82753502,1.82753502,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9613,0.19226,0.1893579343,4.0387,0.80774,0.8106420657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.907074332,0,1,0,0,0,0,0.2068541957,0.7931458043,0,0,0,0,0,25,5,3.906936112,0,3.635258311,1.979028453,1.979028453,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.0343,0.20686,0.2037931567,3.9657,0.79314,0.7962068433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.060769476,0,1,0,0,0,0,0.2497641787,0.7502358213,0,0,0,0,0,25,5,3.060837733,0,3.566199461,2.435723856,2.435723856,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2488,0.24976,0.246254607,3.7512,0.75024,0.753745393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.626424752,0,1,0,0,0,0,0.1804963303,0.8195036697,0,0,0,0,0,25,5,4.626309978,0,3.677691674,1.7069181,1.7069181,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.9025,0.1805,0.1777363856,4.0975,0.8195,0.8222636144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.797873393,0,1,0,0,0,0,0.1751762918,0.8248237082,0,0,0,0,0,25,5,4.797750263,0,3.686255615,1.652760287,1.652760287,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,0.8759,0.17518,0.1724806959,4.1241,0.82482,0.8275193041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.981303796,0,1,0,0,0,0,0.2547257545,0.7452742455,0,0,0,0,0,25,5,2.981394169,0,3.558215034,2.489669217,2.489669217,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.2736,0.25472,0.2511682987,3.7264,0.74528,0.7488317013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.388956517,0,1,0,0,0,0,0.2311682929,0.7688317071,0,0,0,0,0,25,5,3.389114653,0,3.59614106,2.235562217,2.235562217,1,0,0,0,0,True,True,True,True,True,True,True,True,True,True,core_only,1.1558,0.23116,0.2278363814,3.8442,0.76884,0.7721636186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
